SibatSiyum,Min_m,dat_m,Gil_M,MatzavMishp_m,ShnatAliya_m,Shana,Machoz_m,Nafa_m
6,1,10,32,10,1900,2018,1,11
6,2,10,36,20,1900,2018,1,11
3,2,10,21,10,1900,2018,1,11
10,2,10,32,10,1900,2018,1,11
8,2,10,48,20,1994,2018,1,11
8,1,10,23,10,1900,2018,1,11
6,2,95,47,20,2003,2018,1,11
6,1,10,46,20,1900,2018,1,11
2,1,10,45,20,1997,2018,1,11
11,1,10,57,20,1900,2018,1,11
6,1,10,26,20,1900,2018,1,11
6,1,10,23,10,1900,2018,1,11
3,2,10,71,20,1951,2018,1,11
3,2,10,53,30,1900,2018,1,11
3,2,10,38,20,1900,2018,1,11
6,1,20,21,10,1900,2018,1,11
9,1,10,30,10,1900,2018,1,11
1,2,10,49,30,1900,2018,1,11
3,2,10,39,20,1900,2018,1,11
6,2,10,21,10,2016,2018,1,11
1,1,10,77,40,1955,2018,1,11
10,1,10,56,20,1993,2018,1,11
3,2,10,55,30,2009,2018,1,11
6,1,10,23,10,1900,2018,1,11
6,2,40,38,20,1900,2018,1,11
10,2,20,33,20,1900,2018,1,11
6,1,10,56,30,1900,2018,1,11
10,1,20,34,20,1900,2018,1,11
10,2,40,89,40,1900,2018,1,11
6,2,40,66,40,1900,2018,1,11
6,1,20,63,20,1900,2018,1,11
6,1,20,27,10,1900,2018,1,11
10,2,40,52,20,1900,2018,1,11
3,1,20,58,20,1900,2018,1,11
10,2,20,34,10,1900,2018,1,11
10,1,20,27,20,1900,2018,1,11
8,1,20,24,10,1900,2018,1,11
6,2,20,45,10,1900,2018,1,11
3,1,20,37,20,1900,2018,1,11
1,1,20,24,10,1900,2018,1,11
3,1,20,33,20,1900,2018,1,11
9,1,20,55,20,1900,2018,1,11
10,2,20,23,20,1900,2018,1,11
3,1,20,23,10,1900,2018,1,11
7,2,20,71,20,1900,2018,1,11
6,1,20,27,10,1900,2018,1,11
3,1,20,26,10,1900,2018,1,11
7,1,20,72,21,1972,2018,1,11
2,2,20,35,20,1900,2018,1,11
6,1,20,23,10,1900,2018,1,11
7,2,20,30,10,1900,2018,1,11
10,1,20,32,20,1900,2018,1,11
2,2,20,43,20,1900,2018,1,11
